age_ka,d18Ow_IV,SL_m
39080,-0.978,65.1
39079,-0.978,65.1
39078,-0.978,65.1
39077,-0.978,65.1
39076,-0.978,65.1
39075,-0.978,65.1
39074,-0.978,65.1
39073,-0.978,65.1
39072,-0.978,65.1
39071,-0.978,65.1
39070,-0.978,65.1
39069,-0.978,65.1
39068,-0.978,65.1
39067,-0.978,65.1
39066,-0.978,65.1
39065,-0.978,65.1
39064,-0.978,65.1
39063,-0.978,65.1
39062,-0.978,65.1
39061,-0.978,65.1
39060,-0.978,65.1
39059,-0.978,65.1
39058,-0.978,65.1
39057,-0.978,65.1
39056,-0.978,65.1
39055,-0.978,65.1
39054,-0.978,65.1
39053,-0.978,65.1
39052,-0.978,65.1
39051,-0.978,65.1
39050,-0.978,65.1
39049,-0.978,65.1
39048,-0.978,65.1
39047,-0.978,65.1
39046,-0.978,65.1
39045,-0.978,65.1
39044,-0.978,65.1
39043,-0.978,65.1
39042,-0.978,65.1
39041,-0.978,65.1
39040,-0.978,65.1
39039,-0.978,65.1
